iron_alloy_name,"Elastic (Young's, Tensile) Modulus (psi)",Elongation at Break (%),Shear Modulus (psi),Tensile Strength: Ultimate (UTS) (psi),Tensile Strength: Yield (Proof) (psi),Compressive (Crushing) Strength (psi),Fracture Toughness (MPa·m^0.5),Shear Strength (psi),Impact Strength: V-Notched Charpy (lb),Fatigue Strength (psi),Reduction in Area (%),Latent Heat of Fusion (J/g),Melting Completion (Liquidus) (F),Melting Onset (Solidus) (F),Specific Heat Capacity (F),Thermal Conductivity (F),Thermal Expansion (K),Maximum Temperature: Mechanical (F),Maximum Temperature: Corrosion (F),Curie Temperature (F),Base Metal Price (relative),Embodied Carbon (material),Embodied Energy (BTU/lb),Embodied Water (gal/lb),Calomel Potential (mV),Stiffness to Weight: Axial (points),Stiffness to Weight: Bending (points),Strength to Weight: Axial (points),Strength to Weight: Bending (points),Thermal Diffusivity (/s),Thermal Shock Resistance (points),Brinell Hardness min,Brinell Hardness max,Poisson's Ratio min,Poisson's Ratio max,Rockwell C Hardness min,Rockwell C Hardness max,Rockwell B Hardness min,Rockwell B Hardness max,Density min,Density max,Resilience: Ultimate (Unit Rupture Work) min,Resilience: Ultimate (Unit Rupture Work) max,Resilience: Unit (Modulus of Resilience) min,Resilience: Unit (Modulus of Resilience) max,PREN (Pitting Resistance) min,PREN (Pitting Resistance) max,Iron (Fe)Fe min,Iron (Fe)Fe max,Carbon (C)C min,Carbon (C)C max,Silicon (Si)Si min,Silicon (Si)Si max,Manganese (Mn)Mn min,Manganese (Mn)Mn max,Phosphorus (P)P min,Phosphorus (P)P max,Sulfur (S)S min,Sulfur (S)S max,Chromium (Cr)Cr min,Chromium (Cr)Cr max,Molybdenum (Mo)Mo min,Molybdenum (Mo)Mo max,Nickel (Ni)Ni min,Nickel (Ni)Ni max,Copper (Cu)Cu min,Copper (Cu)Cu max,Vanadium (V)V min,Vanadium (V)V max,Aluminum (Al)Al min,Aluminum (Al)Al max,Magnesium (Mg)Mg min,Magnesium (Mg)Mg max,Selenium (Se)Se min,Selenium (Se)Se max,Tin (Sn)Sn min,Tin (Sn)Sn max,Arsenic (As)As min,Arsenic (As)As max,Residualsres. min,Residualsres. max,Titanium (Ti)Ti min,Titanium (Ti)Ti max,Zirconium (Zr)Zr min,Zirconium (Zr)Zr max,Niobium (Nb)Nb min,Niobium (Nb)Nb max,Nitrogen (N)N min,Nitrogen (N)N max,Cobalt (Co)Co min,Cobalt (Co)Co max,Tungsten (W)W min,Tungsten (W)W max,Calcium (Ca)Ca min,Calcium (Ca)Ca max,Boron (B)B min,Boron (B)B max,Oxygen (O)O min,Oxygen (O)O max,Tantalum (Ta)Ta min,Tantalum (Ta)Ta max,Cerium (Ce)Ce min,Cerium (Ce)Ce max,Lanthanum (La)La min,Lanthanum (La)La max,Zinc (Zn)Zn min,Zinc (Zn)Zn max,Lead (Pb)Pb min,Lead (Pb)Pb max
ASTM A202 Cr-Mn-Si Steel,190,17,73,590,350,,,360,,240,,260,1450,1410,470,52,13,410,,,2.1,1.4,19,49,,13,24,21,20,14,17,180,200,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,93,96MJ/m3,330,350kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A204 Molybdenum Steel,190,18,73,520,290,,,330,,200,,250,1470,1420,470,52,13,410,,,2.4,1.5,20,47,,13,24,18,18,14,15,160,180,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,90,95MJ/m3,220,290kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F5a (K42544) Steel,190,25,74,710,520,,,450,,380,56,260,1460,1420,470,40,13,510,,,4.5,1.8,24,69,,14,25,25,23,11,20,310,310,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,160MJ/m3,160MJ/m3,700kJ/m3,700kJ/m3,6.8,6.8,91.4,95.6,0,0.25,0,0.5,0,0.6,0,0.040,0,0.030,4.0,6.0,0.44,0.65,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A232 Chromium-Vanadium Spring Steel,190,14,73,1790,1610,,,1090,,1040,46,250,1460,1410,470,52,13,420,,,2.3,2.0,28,51,,13,24,64,42,14,53,540,540,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,250MJ/m3,250MJ/m3,,,,,96.8,97.7,0.48,0.53,0.15,0.35,0.7,0.9,0,0.020,0,0.035,0.8,1.1,,,,,,,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A372 Grade E Alloy Steel,190,20,73,650,430,,,410,,310,,250,1460,1420,470,44,13,420,,,2.4,1.5,20,51,,13,24,23,21,12,19,200,280,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130,160MJ/m3,500,810kJ/m3,,,97,98.3,0.25,0.35,0.15,0.35,0.4,0.9,0,0.015,0,0.010,0.8,1.2,0.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 12 (K11757) 1Cr-0.5Mo Steel,190,25,73,470,260,,,300,,190,,250,1470,1420,470,44,13,430,,,2.8,1.6,21,51,,13,24,16,17,12,14,140,160,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,98,110MJ/m3,180,250kJ/m3,2.7,2.7,97,98.2,0.050,0.17,0.15,0.4,0.4,0.65,0,0.025,0,0.025,0.8,1.2,0.45,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F92 (K92460) Steel,190,22,76,690,500,,,440,,360,51,260,1490,1450,470,26,13,590,,,11,2.8,40,89,,14,24,24,22,6.9,19,240,240,0.28,0.28,,,,,7.9g/cm3500lb/ft3,7.9g/cm3500lb/ft3,140MJ/m3,140MJ/m3,650kJ/m3,650kJ/m3,14,14,85.8,89.1,0.070,0.13,0,0.5,0.3,0.6,0,0.020,0,0.010,8.5,9.5,0.3,0.6,0,0.4,,,0.15,0.25,0,0.020,,,,,,,,,,,0,0.010,0,0.010,0.040,0.090,0.030,0.070,,,1.5,2.0,,,0.0010,0.0060,,,,,,,,,,,,
ASTM A182 Grade F23 (K41650) Steel,190,22,74,570,460,,,360,,320,46,250,1500,1450,470,41,13,450,,,7.0,2.5,36,59,,13,24,20,19,11,17,190,190,0.29,0.29,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,120MJ/m3,120MJ/m3,550kJ/m3,550kJ/m3,5.7,5.7,93.2,96.2,0.040,0.1,0,0.5,0.1,0.6,0,0.030,0,0.010,1.9,2.6,0.050,0.3,0,0.4,,,0.2,0.3,0,0.030,,,,,,,,,,,0.0050,0.060,,,0.020,0.080,0,0.015,,,1.5,1.8,,,0.0010,0.0060,,,,,,,,,,,,
ASTM A372 Grade M Alloy Steel,190,18,73,810,660,,,510,,450,,250,1460,1420,470,46,13,450,,,5.0,2.0,27,61,,13,24,29,24,12,24,240,280,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,160MJ/m3,160MJ/m3,1140,1580kJ/m3,3.4,3.4,92.5,95.1,0,0.23,0,0.3,0.2,0.4,0,0.015,0,0.010,1.5,2.0,0.4,0.6,2.8,3.9,,,0,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 21 (K31545) 3Cr-1Mo Steel,190,21,74,500,230,,,310,,160,,260,1470,1430,470,41,13,480,,,4.1,1.8,23,62,,13,24,18,18,11,14,150,180,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,84,110MJ/m3,140,320kJ/m3,6.4,6.4,94.4,96,0.050,0.15,0,0.5,0.3,0.6,0,0.025,0,0.025,2.8,3.3,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A372 Grade J Alloy Steel,190,17,73,650,430,,,410,,310,,250,1460,1420,470,44,13,420,,,2.4,1.5,20,51,,13,24,23,21,12,19,200,310,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130,170MJ/m3,500,1930kJ/m3,,,96.7,97.8,0.35,0.5,0.15,0.35,0.75,1.1,0,0.015,0,0.010,0.8,1.2,0.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 22L Class 1 2.25Cr-1Mo Steel,190,20,74,500,230,,,310,,160,,260,1470,1430,470,40,13,460,,,3.8,1.7,23,58,,13,24,18,18,11,14,150,150,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,83MJ/m3,83MJ/m3,140kJ/m3,140kJ/m3,5.6,5.6,95.2,96.8,0,0.1,0,0.5,0.3,0.6,0,0.025,0,0.025,2.0,2.5,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 9 (K90941) 9Cr-1Mo Steel,190,20,75,500,230,,,310,,160,,270,1460,1410,470,26,13,600,,,6.5,2.1,28,87,,14,25,18,18,6.9,14,150,180,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,83,110MJ/m3,140,310kJ/m3,12,12,87.1,90.8,0,0.15,0,1.0,0.3,0.6,0,0.025,0,0.025,8.0,10,0.9,1.1,,,,,0,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A242 HSLA Steel,190,22,73,490,330,,,310,,230,,250,1460,1420,470,52,13,400,,,1.9,1.4,18,46,,13,24,17,17,14,14,150,150,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,95MJ/m3,95MJ/m3,290kJ/m3,290kJ/m3,,,98.2,99.8,0,0.15,,,0,1.0,0,0.15,0,0.050,,,,,,,0.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A225 Manganese-Vanadium-Nickel Steel,190,21,73,620,460,,,390,,330,,250,1460,1420,470,52,13,400,,,2.3,1.8,24,48,,13,24,22,21,14,18,190,250,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,120,170MJ/m3,580,820kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F36 (K21001) Steel,190,17,73,710,490,,,440,,330,,250,1460,1420,470,39,13,410,,,3.4,1.7,22,53,,13,24,25,22,10,21,220,220,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,110MJ/m3,110MJ/m3,650kJ/m3,650kJ/m3,,,95,97.1,0.1,0.17,0.25,0.5,0.8,1.2,0,0.030,0,0.025,0,0.3,0.25,0.5,1.0,1.3,0.5,0.8,0,0.020,0,0.050,,,,,,,,,,,,,,,0.015,0.045,0,0.020,,,,,,,,,,,,,,,,,,,,
ASTM A209 Carbon-Molybdenum Steel,190,34,73,420,220,,,280,,180,,250,1470,1420,470,50,13,410,,,2.4,1.5,20,47,,13,24,15,16,13,12,140,150,0.29,0.29,,,77,81,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120,130MJ/m3,130,170kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F11 Class 1 (K11597) Steel,190,23,73,470,230,,,300,,160,50,260,1460,1420,470,39,13,430,,,2.9,1.6,21,52,,13,24,17,17,11,14,150,150,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,89MJ/m3,89MJ/m3,140kJ/m3,140kJ/m3,3.0,3.0,96,97.7,0.050,0.15,0.5,1.0,0.3,0.6,0,0.030,0,0.030,1.0,1.5,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A302 Alloy Steel,190,20,73,590,350,,,370,,250,,250,1460,1420,470,39,13,410,,,2.4,1.5,20,48,,13,24,21,20,10,17,180,190,0.29,0.29,,,,,7.8,7.9g/cm3490lb/ft3,110,120MJ/m3,330,410kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade FR (K22035) Steel,190,28,72,490,360,,,320,,270,43,250,1460,1420,470,52,13,410,,,3.3,1.6,21,52,,13,24,17,17,14,14,170,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,340kJ/m3,340kJ/m3,,,95.2,97.3,0,0.2,,,0.4,1.1,0,0.045,0,0.050,,,,,1.6,2.2,0.75,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A372 Grade F Alloy Steel,190,20,73,650,430,,,410,,310,,250,1460,1420,470,44,13,420,,,2.4,1.5,20,51,,13,24,23,21,12,19,200,280,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130,160MJ/m3,500,810kJ/m3,,,96.8,97.9,0.3,0.4,0.15,0.35,0.7,1.0,0,0.015,0,0.010,0.8,1.2,0.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A372 Grade H Alloy Steel,190,20,73,650,430,,,410,,310,,250,1460,1420,470,45,13,410,,,2.3,1.5,20,49,,13,24,23,21,12,19,200,280,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130,160MJ/m3,500,810kJ/m3,,,97.3,98.3,0.3,0.4,0.15,0.35,0.75,1.1,0,0.015,0,0.010,0.4,0.65,0.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F24 (K30736) Steel,190,23,74,670,460,,,420,,330,45,260,1470,1430,470,39,13,460,,,4.0,2.3,33,61,,13,24,24,22,11,19,210,210,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,140MJ/m3,140MJ/m3,570kJ/m3,570kJ/m3,6.7,6.7,94.5,96.1,0.050,0.1,0.15,0.45,0.3,0.7,0,0.020,0,0.010,2.2,2.6,0.9,1.1,,,,,0.2,0.3,0,0.020,,,,,,,,,,,0.060,0.1,,,,,0,0.12,,,,,,,0.0015,0.0070,,,,,,,,,,,,
ASTM A182 Grade F11 Class 2 (K11572) Steel,190,22,73,540,310,,,340,,220,34,260,1460,1420,470,39,13,430,,,2.9,1.6,21,53,,13,24,19,19,11,16,180,180,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,100MJ/m3,100MJ/m3,260kJ/m3,260kJ/m3,3.0,3.0,95.8,97.7,0.1,0.2,0.5,1.0,0.3,0.8,0,0.040,0,0.040,1.0,1.5,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F122 (K91271) Steel,190,23,76,710,450,,,450,,320,45,270,1490,1440,470,24,13,600,,,12,3.0,44,100,,14,24,25,22,6.4,19,220,220,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,140MJ/m3,140MJ/m3,520kJ/m3,520kJ/m3,17,17,81.3,87.7,0.070,0.14,0,0.5,0,0.7,0,0.020,0,0.010,10,11.5,0.25,0.6,0,0.5,0.3,1.7,0.15,0.3,0,0.020,,,,,,,,,,,0,0.010,0,0.010,0.040,0.1,0.040,0.1,,,1.5,2.5,,,0,0.0050,,,,,,,,,,,,
ASTM A369 Grade FP12 Cr-Mo Steel,190,20,73,470,250,,,300,,170,,250,1470,1430,470,45,13,430,,,2.8,1.6,21,52,,13,24,17,17,12,14,140,140,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,81MJ/m3,81MJ/m3,160kJ/m3,160kJ/m3,2.8,2.8,96.8,98.4,0.050,0.15,0,0.5,0.3,0.61,0,0.025,0,0.025,0.8,1.3,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 5 (S50200) 5Cr-0.5Mo Steel,190,20,74,500,230,,,310,,160,,260,1460,1420,470,40,13,510,,,4.3,1.7,23,69,,14,25,18,18,11,14,150,180,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,83,110MJ/m3,140,320kJ/m3,6.8,6.8,92.1,95.3,0,0.15,0,0.5,0.3,0.6,0,0.025,0,0.025,4.0,6.0,0.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A572 HSLA Steel,190,18,73,470,330,,,300,,240,,250,1460,1420,470,51,13,400,,,2.0,1.6,22,47,,13,24,17,17,14,14,140,190,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,100,110MJ/m3,290,690kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 91 Class 2 (K90901) 9Cr-1Mo Steel,190,20,75,670,470,,,420,,330,,270,1460,1420,470,26,13,600,,,7.0,2.6,37,88,,14,25,24,22,6.9,19,200,200,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,120MJ/m3,120MJ/m3,580kJ/m3,580kJ/m3,13,13,87.3,90.3,0.080,0.12,0.2,0.5,0.3,0.6,0,0.020,0,0.010,8.0,9.5,0.85,1.1,0,0.4,,,0.18,0.25,0,0.020,,,,,,,,,,,0,0.010,0,0.010,0.060,0.1,0.030,0.070,,,,,,,,,,,,,,,,,,,,
ASTM A369 Grade FP9 Cr-Mo Steel,190,20,75,470,240,,,300,,160,,270,1450,1410,480,26,13,600,,,6.5,2.0,28,87,,14,25,17,17,6.9,13,140,140,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,80MJ/m3,80MJ/m3,140kJ/m3,140kJ/m3,12,12,87.1,90.3,0,0.15,0.5,1.0,0.3,0.6,0,0.030,0,0.030,8.0,10,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F22V (K31835) Steel,190,21,74,670,460,,,420,,320,50,250,1470,1430,470,39,13,460,,,4.2,2.5,35,61,,13,24,24,22,11,19,210,210,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,570kJ/m3,570kJ/m3,5.6,5.6,94.6,96.4,0.11,0.15,0,0.1,0.3,0.6,0,0.015,0,0.010,2.0,2.5,0.9,1.1,0,0.25,0,0.2,0.25,0.35,,,,,,,,,,,,,0,0.030,,,0,0.070,,,,,,,0,0.015,0,0.0020,,,,,,,,,,,,
ASTM A231 Chromium-Vanadium Spring Steel,190,14,73,1790,1570,,,1080,,1000,46,250,1460,1410,470,52,13,420,,,2.3,2.0,28,51,,13,24,64,42,14,53,540,540,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,230MJ/m3,230MJ/m3,,,,,96.7,97.7,0.48,0.53,0.15,0.35,0.7,0.9,0,0.040,0,0.040,0.8,1.1,,,,,,,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 11 (K11789) 1.25Cr-0.5Mo Steel,190,25,73,500,270,,,320,,200,,260,1460,1420,470,39,13,430,,,2.9,1.6,21,53,,13,24,18,18,11,15,150,180,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,100,130MJ/m3,200,320kJ/m3,3.1,3.1,96.2,97.6,0.050,0.17,0.5,0.8,0.4,0.65,0,0.025,0,0.025,1.0,1.5,0.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 22 (K21590) 2.25Cr-1Mo Steel,190,21,74,480,230,,,300,,160,,260,1470,1430,470,40,13,460,,,3.8,1.7,23,58,,13,24,17,17,11,14,150,180,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,85,110MJ/m3,140,320kJ/m3,5.6,5.6,95.1,96.8,0.050,0.15,0,0.5,0.3,0.6,0,0.025,0,0.025,2.0,2.5,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A369 Grade FP91 High-Chromium Steel,190,19,75,670,460,,,410,,320,,270,1460,1420,470,26,13,600,,,7.0,2.6,37,88,,14,25,24,22,6.9,18,200,200,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110MJ/m3,110MJ/m3,560kJ/m3,560kJ/m3,13,13,87.3,90.3,0.080,0.12,0.2,0.5,0.3,0.6,0,0.025,0,0.025,8.0,9.5,0.85,1.1,0,0.4,,,0.18,0.25,0,0.020,,,,,,,,,,,0,0.010,0,0.010,0.060,0.1,0.030,0.070,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F3V (K31830) Steel,190,20,74,660,470,,,410,,330,51,250,1470,1430,470,39,13,470,,,4.2,2.3,33,63,,13,24,23,21,10,19,210,210,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,590kJ/m3,590kJ/m3,6.3,6.3,94.4,95.7,0.050,0.18,0,0.1,0.3,0.6,0,0.020,0,0.020,2.8,3.2,0.9,1.1,,,,,0.2,0.3,,,,,,,,,,,,,0.015,0.035,,,,,,,,,,,,,0.0010,0.0030,,,,,,,,,,,,
ASTM A182 Grade F2 (K12122) Steel,190,23,73,550,310,,,350,,220,34,250,1460,1420,470,46,13,420,,,2.7,1.6,21,50,,13,24,20,19,12,16,170,170,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110MJ/m3,110MJ/m3,250kJ/m3,250kJ/m3,2.5,2.5,96.9,98.6,0.050,0.21,0.1,0.6,0.3,0.8,0,0.040,0,0.040,0.5,0.81,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A387 Grade 2 (S50460) 0.5Cr-0.5Mo Steel,190,25,73,470,260,,,300,,190,,250,1470,1420,470,45,13,420,,,2.6,1.6,20,50,,13,24,16,17,12,14,140,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,98,120MJ/m3,180,320kJ/m3,2.4,2.4,97.1,98.3,0.050,0.21,0.15,0.4,0.55,0.8,0,0.025,0,0.025,0.5,0.8,0.45,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F3VCb (K31390) Steel,190,21,74,670,460,,,420,,320,50,250,1470,1430,470,40,13,470,,,4.5,2.4,33,64,,13,24,24,22,11,19,210,210,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,570kJ/m3,570kJ/m3,6.3,6.3,93.8,95.8,0.1,0.15,0,0.1,0.3,0.6,0,0.020,0,0.010,2.7,3.3,0.9,1.1,0,0.25,0,0.25,0.2,0.3,,,,,,,,,,,,,0,0.015,,,0.015,0.070,,,,,,,0.00050,0.015,,,,,,,,,,,,,,
ASTM A369 Grade FP1 Molybdenum Steel,190,20,73,430,240,,,270,,160,,250,1470,1420,470,50,13,410,,,2.4,1.5,20,47,,13,24,15,16,13,13,130,130,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,75MJ/m3,75MJ/m3,150kJ/m3,150kJ/m3,,,97.8,99.06,0.1,0.2,0.1,0.5,0.3,0.8,0,0.025,0,0.025,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A588 HSLA Steel,190,22,73,550,390,,,350,,270,,250,1460,1410,470,43,13,410,,,2.3,1.5,20,50,,13,24,20,19,12,16,170,170,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110MJ/m3,110MJ/m3,400kJ/m3,400kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F12 Class 1 (K11562) Steel,190,23,73,470,250,,,300,,180,50,250,1470,1420,470,45,13,430,,,2.8,1.6,21,52,,13,24,17,17,12,14,150,150,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,91MJ/m3,91MJ/m3,160kJ/m3,160kJ/m3,2.8,2.8,96.8,98.4,0.050,0.15,0,0.5,0.3,0.6,0,0.045,0,0.045,0.8,1.3,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A369 Grade FP5 Cr-Mo Steel,190,20,74,470,240,,,300,,160,,260,1460,1420,470,40,13,510,,,4.3,1.7,23,69,,14,25,17,17,11,13,140,140,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,80MJ/m3,80MJ/m3,140kJ/m3,140kJ/m3,6.8,6.8,92.1,95.3,0,0.15,0,0.5,0.3,0.6,0,0.025,0,0.025,4.0,6.0,0.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A182 Grade F10 (S33100) Steel,190,34,74,630,230,,,420,,180,56,290,1420,1370,470,,13,600,,,18,3.6,51,120,,13,24,22,21,,18,190,190,0.29,0.29,,,,,7.9g/cm3500lb/ft3,7.9g/cm3500lb/ft3,170MJ/m3,170MJ/m3,140kJ/m3,140kJ/m3,8.0,8.0,66.5,72.4,0.1,0.2,1.0,1.4,0.5,0.8,0,0.040,0,0.030,7.0,9.0,,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A369 Grade FP11 Cr-Mo Steel,190,20,73,470,240,,,300,,160,,260,1460,1420,470,40,13,430,,,2.9,1.6,21,52,,13,24,17,17,11,14,140,140,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,80MJ/m3,80MJ/m3,150kJ/m3,150kJ/m3,3.0,3.0,96.1,97.7,0.050,0.15,0.5,1.0,0.3,0.6,0,0.025,0,0.025,1.0,1.5,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A369 Grade FP22 Cr-Mo Steel,190,20,74,470,240,,,300,,160,,260,1470,1430,470,39,13,460,,,3.8,1.7,23,58,,13,24,17,17,11,14,140,140,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,80MJ/m3,80MJ/m3,150kJ/m3,150kJ/m3,5.5,5.5,95,96.9,0.050,0.15,0,0.5,0.3,0.6,0,0.025,0,0.025,1.9,2.6,0.87,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
